date,NIR,NDA,gov_account,banks_net,repo_total,repo_main,repo_long,repo_fine,repo_lombard,fx_swap_attract,deposits,deposit_auctions,reverse_repo,fx_swap_alloc,securities_issued,other_net,monetary_base,currency_outside_cba,corr_dram,corr_fx,other_banks_dram,other_banks_fx,other_residents,other_dram,other_fx
2025-09-25,1291485.4584204,867028.88532457,-734549.3130877,1181836.2346896,872668.983844,625122.374185,NA,247546.609659,NA,NA,NA,NA,NA,NA,NA,419741.96372267,2158514.343745,1054422.5177398,605240.1506137,487130.9023647,1.4113404,168.2867797,7041.5248805,4509.5500262,11551.074906699
2025-09-26,1290966.5506868,866999.11796852,-728769.8688485,1172491.0851021,872837.967689,625244.74837,NA,247593.219319,NA,NA,9001.2945205,NA,NA,NA,NA,423277.90171492,2157965.6686553,1054849.3434958,603007.1465455,488776.6328504,1.4113404,167.6120178,6968.0386228,4195.4837826,11163.5224054
2025-09-29,1294685.3078721,881115.6761447,-714466.9731895,1175161.4645988,873344.919221,625611.870925,NA,247733.048296,NA,NA,7001.0068493,NA,NA,NA,NA,420421.1847354,2175800.9840168,1054738.5985348,606920.6984673,490149.8456878,1.399982,167.9225131,18859.1981679,4963.3206639,23822.5188318
2025-09-30,1321918.7142634,891158.50918151,-703988.1790099,1175098.3296022,873513.903063,625734.245109,NA,247779.657954,NA,NA,7001.0068493,NA,NA,NA,NA,420048.35858921,2213077.2234449,1053767.1073048,616202.7616894,531900.0249636,1.3980797,167.9702361,6553.7472347,4484.2139366,11037.961171301
2025-10-01,1295530.2220704,587396.71526513,-680268.3127099,848639.1174409,545000,485000,NA,60000,NA,NA,5000.7191781,NA,NA,NA,NA,419025.91053413,1882926.9373355,1055500.6575548,324397.4503435,490792.1473224,1.3980797,168.0042996,6628.86355,5438.4161855,12067.2797355
2025-10-02,1291681.4324,621525.73893741,-641111.8598602,844798.6756671,545105.720458,485094.281555,NA,60011.438903,NA,NA,9001.2945205,NA,NA,NA,NA,417838.92313051,1913207.1713374,1059791.5639517,353382.3035712,487976.1355033,1.8980797,168.3965393,6820.8430905,5066.0306017,11886.8736922
2025-10-03,1295096.4402396,620062.94865545,-639958.1631618,839958.09994,545211.440908,485188.563099,NA,60022.877809,NA,NA,14002.0136986,NA,NA,NA,NA,420063.01187725,1915159.388895,1069869.2042167,346157.5921229,488786.4335498,1.8980797,168.0510965,6024.8185458,4151.3912836,10176.2098294
2025-10-06,1293562.8540533,632439.59314452,-623875.7777387,837419.723608,545528.602272,485471.407752,NA,60057.19452,NA,NA,17002.4452054,NA,NA,NA,NA,418895.64727522,1926002.4471978,1075485.1501808,351855.8400148,487728.4581864,1.8980797,167.5745685,6063.0181091,4700.5080585,10763.5261676
2025-10-07,1295927.222062,634581.75581023,-615505.8205675,831579.0404247,545634.322727,485565.689302,NA,60068.633425,NA,NA,23003.3082191,NA,NA,NA,NA,418508.53595303,1930508.9778722,1076528.9448558,348925.7033826,492833.8518223,1.8877469,167.7082885,5123.2198521,6927.661924,12050.8817761
2025-10-08,1293472.3603056,533179.40159132,-606910.3515665,722001.2006704,422000,415000,NA,NA,7000,NA,9001.2945205,NA,NA,NA,NA,418088.55248742,1826651.7618969,1077480.3965738,245902.9525733,492098.3096317,1.8852716,167.6102769,5158.6399397,5841.9676299,11000.6075696
